VoteKit PreferenceProfile
Candidates
(Zohran Kwame Mamdani:Zo),(overvote:ov),(Jessica Ramos:Je),(Write-in:Wr),(Paperboy Love Prince:Pa),(Michael Blake:Mi),(Zellnor Myrie:Ze),(Whitney R. Tilson:Wh),(Brad Lander:Br),(Andrew M. Cuomo:An),(Selma K. Bartholomew:Se),(Adrienne E. Adams:Ad),(Scott M. Stringer:Sc)
Max Ranking Length
5
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,&,Weight,&
&,{'Ad'},,,,,&,376/1,&
&,{'Ad'},{'An'},,,,&,7/1,&
&,{'Ad'},{'Br'},,,,&,2/1,&
&,{'Ad'},{'Je'},,,,&,1/1,&
&,{'Ad'},{'Mi'},,,,&,1/1,&
&,{'Ad'},{'Pa'},,,,&,2/1,&
&,{'Ad'},{'Sc'},,,,&,1/1,&
&,{'Ad'},{'Wh'},,,,&,1/1,&
&,{'Ad'},{'Ze'},,,,&,2/1,&
&,{'Ad'},{'Zo'},,,,&,2/1,&
&,{'Ad'},,,,,&,7/1,&
&,{'Ad'},{'An'},,,,&,1/1,&
&,{'Ad'},{'An'},,,,&,6/1,&
&,{'Ad'},{'An'},,,,&,1/1,&
&,{'Ad'},{'Br'},,,,&,2/1,&
&,{'Ad'},{'Br'},,,,&,1/1,&
&,{'Ad'},{'Je'},,,,&,1/1,&
&,{'Ad'},{'Mi'},,,,&,4/1,&
&,{'Ad'},{'Mi'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'Mi'},{'Wh'},,,&,1/1,&
&,{'Ad'},{'Pa'},,,,&,1/1,&
&,{'Ad'},{'Sc'},,,,&,1/1,&
&,{'Ad'},{'Sc'},{'Zo'},,,&,1/1,&
&,{'Ad'},{'Wh'},,,,&,1/1,&
&,{'Ad'},{'Wh'},{'Br'},,,&,1/1,&
&,{'Ad'},{'Wh'},{'Je'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'An'},,,&,1/1,&
&,{'Ad'},{'Ze'},{'Br'},,,&,1/1,&
&,{'Ad'},{'Ze'},,,,&,3/1,&
&,{'Ad'},{'Zo'},,,,&,1/1,&
&,{'Ad'},{'Zo'},{'Mi'},,,&,1/1,&
&,{'Ad'},{'Zo'},,,,&,5/1,&
&,{'Ad'},,,,,&,6/1,&
&,{'Ad'},{'An'},,,,&,2/1,&
&,{'Ad'},,,,,&,12/1,&
&,{'Ad'},{'An'},,,,&,1/1,&
&,{'Ad'},{'An'},,,,&,2/1,&
&,{'Ad'},{'An'},,,,&,1/1,&
&,{'Ad'},{'An'},,,,&,5/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},,&,1/1,&
&,{'Ad'},{'An'},{'Sc'},{'Pa'},,&,1/1,&
&,{'Ad'},{'An'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'An'},{'Ze'},,,&,1/1,&
&,{'Ad'},{'An'},{'Zo'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Zo'},,,&,1/1,&
&,{'Ad'},{'An'},,,,&,1/1,&
&,{'Ad'},{'An'},,,,&,4/1,&
&,{'Ad'},{'Br'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'Br'},{'Wh'},,,&,1/1,&
&,{'Ad'},{'Br'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'Br'},{'Sc'},{'An'},,&,3/1,&
&,{'Ad'},{'Br'},{'Sc'},{'Zo'},,&,2/1,&
&,{'Ad'},{'Br'},{'Ze'},,,&,1/1,&
&,{'Ad'},{'Br'},{'Zo'},,,&,1/1,&
&,{'Ad'},{'Je'},,,,&,1/1,&
&,{'Ad'},{'Je'},{'Br'},,,&,1/1,&
&,{'Ad'},{'Je'},{'An'},{'Br'},,&,1/1,&
&,{'Ad'},{'Je'},{'An'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Je'},{'Sc'},{'An'},,&,1/1,&
&,{'Ad'},{'Je'},{'Se'},{'Ze'},,&,1/1,&
&,{'Ad'},{'Je'},{'Wh'},{'Se'},,&,1/1,&
&,{'Ad'},{'Je'},,,,&,2/1,&
&,{'Ad'},{'Mi'},,,,&,1/1,&
&,{'Ad'},{'Mi'},{'Br'},{'An'},,&,1/1,&
&,{'Ad'},{'Mi'},{'An'},,,&,1/1,&
&,{'Ad'},{'Mi'},{'Sc'},{'Je'},,&,1/1,&
&,{'Ad'},{'Mi'},{'Sc'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Mi'},{'Se'},,,&,1/1,&
&,{'Ad'},{'Mi'},{'Ze'},{'Zo'},,&,1/1,&
&,{'Ad'},{'Sc'},{'An'},,,&,1/1,&
&,{'Ad'},{'Sc'},{'An'},,,&,1/1,&
&,{'Ad'},{'Sc'},{'Je'},,,&,1/1,&
&,{'Ad'},{'Sc'},{'Je'},{'Se'},,&,1/1,&
&,{'Ad'},{'Sc'},{'Mi'},{'Br'},,&,1/1,&
&,{'Ad'},{'Sc'},{'Mi'},{'Wh'},,&,1/1,&
&,{'Ad'},{'Sc'},{'Mi'},{'Zo'},,&,2/1,&
