VoteKit RankProfile
Candidates
(Terrence Hayes:Terren),(Cayle Tern:Cayle ),(Michael (Mike) Sands:Michae),(Thomas Shervey:Thomas),(Loretta Smith:Lorett),(Noah Ernst:Noah E),(Deian Salazar:Deian ),(Joe Furi:Joe Fu),(Peggy Sue Owens:Peggy ),(Jamie Dunphy:Jamie ),(Joe Allen:Joe Al),(Timur Ender:Timur ),(David Linn:David ),(Steph Routh:Steph ),(Doug Clove:Doug C),(Candace Avalos:Candac)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Terren'},{'Lorett'},{'Noah E'},,,,&,1.0,&
{'Lorett'},{'Steph '},{'Timur '},{'David '},{'Candac'},{'Jamie '},&,1.0,&
{'Lorett'},{'Steph '},{'Timur '},{'David '},{'Candac'},{'Jamie '},&,1.0,&
{'Michae'},{'Doug C'},{'Joe Fu'},{'Timur '},{'Deian '},{'Lorett'},&,1.0,&
{'Timur '},{'Candac'},{'Cayle '},{'Steph '},{'Michae'},{'Jamie '},&,1.0,&
{'Lorett'},{'Candac'},{'Peggy '},{'Jamie '},{'Thomas'},{'Timur '},&,1.0,&
{'Terren'},{'Lorett'},,,,,&,1.0,&
{'Lorett'},{'Doug C'},{'Noah E'},,,,&,1.0,&
{'David '},{'Lorett'},{'Candac'},{'Jamie '},{'Doug C'},{'Cayle '},&,1.0,&
{'David '},{'Lorett'},{'Candac'},{'Jamie '},{'Doug C'},{'Cayle '},&,1.0,&
{'Deian '},{'Candac'},{'Peggy '},{'Doug C'},{'Michae'},{'Jamie '},&,1.0,&
{'Joe Al'},{'David '},{'Joe Fu'},{'Thomas'},{'Doug C'},,&,1.0,&
{'Deian '},{'Joe Al'},{'Peggy '},{'Doug C'},{'Michae'},{'Jamie '},&,1.0,&
{'Steph '},{'Candac'},{'David '},{'Timur '},{'Jamie '},{'Cayle '},&,1.0,&
{'Jamie '},{'Candac'},{'Steph '},,,,&,1.0,&
{'Candac'},{'Timur '},{'Cayle '},{'Deian '},{'Lorett'},{'Steph '},&,1.0,&
{'Michae'},,,,,,&,1.0,&
{'Joe Fu'},{'Lorett'},{'Candac'},{'Peggy '},{'Jamie '},{'David '},&,1.0,&
{'Peggy '},{'Candac'},{'Joe Fu'},{'Deian '},{'Jamie '},{'Cayle '},&,1.0,&
{'Jamie '},,,,,,&,1.0,&
{'Noah E'},{'Doug C'},{'Joe Al'},{'Lorett'},{'Peggy '},{'Joe Fu'},&,1.0,&
{'Deian '},{'Doug C'},,,,,&,1.0,&
{'David '},,,,,,&,1.0,&
{'Candac'},{'Jamie '},{'Timur '},{'Lorett'},{'Cayle '},,&,1.0,&
{'Terren'},{'Noah E'},{'Candac'},,,,&,1.0,&
{'Terren'},{'Noah E'},{'Candac'},,,,&,1.0,&
{'Lorett'},{'Timur '},{'Steph '},{'Candac'},,,&,1.0,&
{'Steph '},{'Jamie '},{'Noah E'},{'Candac'},{'Lorett'},{'Doug C'},&,1.0,&
{'Steph '},{'Jamie '},{'Noah E'},{'Candac'},{'Lorett'},{'Doug C'},&,1.0,&
{'Noah E'},{'Lorett'},{'Terren'},,,,&,1.0,&
{'Terren'},{'Lorett'},{'Noah E'},{'Timur '},,,&,1.0,&
{'Jamie '},,,,,,&,1.0,&
{'Jamie '},{'Candac'},{'Lorett'},{'Terren'},{'Steph '},{'Noah E'},&,1.0,&
{'Lorett'},{'Terren'},{'Candac'},{'Steph '},{'Deian '},{'Jamie '},&,1.0,&
{'Lorett'},{'Jamie '},{'Steph '},,,,&,1.0,&
{'Lorett'},{'Jamie '},{'Steph '},,,,&,1.0,&
{'Steph '},{'Candac'},{'David '},{'Timur '},{'Jamie '},{'Cayle '},&,1.0,&
{'Candac'},{'Lorett'},{'Steph '},,,,&,1.0,&
{'Candac'},{'Jamie '},{'Peggy '},{'Lorett'},{'Deian '},{'Cayle '},&,1.0,&
{'Steph '},{'Thomas'},{'Jamie '},{'Deian '},{'David '},{'Noah E'},&,1.0,&
{'Steph '},,,,,,&,1.0,&
{'Jamie '},{'Timur '},{'Steph '},{'Lorett'},{'Cayle '},{'Terren'},&,1.0,&
{'Noah E'},{'Terren'},{'Joe Fu'},{'Lorett'},{'Doug C'},,&,1.0,&
{'Michae'},{'Lorett'},{'Terren'},{'Jamie '},,,&,1.0,&
{'Noah E'},,,,,,&,1.0,&
{'Jamie '},{'Candac'},{'David '},{'Steph '},{'Deian '},{'Michae'},&,1.0,&
{'Jamie '},{'Candac'},{'David '},{'Steph '},{'Deian '},{'Michae'},&,1.0,&
{'Candac'},{'Timur '},{'Joe Al'},{'Michae'},{'Cayle '},,&,1.0,&
{'Jamie '},,,,,,&,1.0,&
