VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Marnie'},{'Elana '},{'Jonath'},{'Dan Ry'},,,&,1.0,&
{'Marnie'},{'Dan Ry'},{'Nabil '},,,,&,1.0,&
{'Sameer'},{'Michel'},{'Tiffan'},{'Nat We'},,,&,1.0,&
{'Dan Ry'},{'Tiffan'},{'Nat We'},{'Mariah'},{'Jonath'},{'Elana '},&,1.0,&
{'Jennif'},{'Liz Ta'},{'Bob Si'},{'Laura '},{'Michel'},{'Debbie'},&,1.0,&
{'Nat We'},{'Marnie'},{'Elana '},{'Michel'},{'Jonath'},{'Sameer'},&,1.0,&
{'Nat We'},{'Elana '},{'Dan Ry'},,,,&,1.0,&
{'Dan Ry'},{'Michel'},{'Mariah'},{'Tiffan'},,,&,1.0,&
{'Dan Ry'},{'Mariah'},{'Tiffan'},,,,&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Nat We'},{'James '},{'Reuben'},{'Mariah'},{'Dan Ry'},{'Laura '},&,1.0,&
{'Dan Ry'},{'Bob Si'},{'Will M'},{'Sam Sa'},{'Debbie'},{'Michae'},&,1.0,&
{'Marnie'},{'Tiffan'},{'Elana '},{'Dan Ry'},{'Mariah'},{'Jonath'},&,1.0,&
{'Sameer'},{'Will M'},{'Elana '},{'Tiffan'},{'Bob Si'},{'Michae'},&,1.0,&
{'Bob Si'},{'Elana '},{'Mariah'},{'Nabil '},{'Jennif'},{'Nat We'},&,1.0,&
{'James '},{'Tiffan'},{'Jonath'},{'Marnie'},{'Debbie'},{'Michel'},&,1.0,&
