VoteKit PreferenceProfile
Candidates
(Kelly Doyle:Kelly ),(Eric Zimmerman:Eric Z),(Mike DiNapoli:Mike D),(Bob Callahan:Bob Ca),(Kevin Goldsmith:Kevin ),(Michael Trimble:Michae),(Chloe Mason:Chloe ),(Bob Weinstein:Bob We),(Tony Morse:Tony M),(Raquel Coyote:Raquel),(Lisa Freeman:Lisa F),(Eli Arnold:Eli Ar),(Ciatta R Thompson:Ciatta),(Tony Schwartz:Tony S),(Olivia Clark:Olivia),(Chad Lykins:Chad L),(Andra Vltavin:Andra ),(Joseph (Joe) Alfone:Joseph),(Patrick Cashman:Patric),(Mitch Green:Mitch ),(Sarah Silkie:Sarah ),(Chris Henry:Chris ),(Ben Hufford:Ben Hu),(Brandon Farley:Brando),(L Christopher Regis:L Chri),(John Toran:John T),(Moses Ross:Moses ),(Stanley Penkin:Stanle),(John J Goldsmith:John J),(Lee Odell:Lee Od)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
&,{'Andra '},,,,,,&,1/1,&
&,{'Andra '},{'Ben Hu'},{'Chad L'},{'Moses '},{'Olivia'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Ben Hu'},{'Chad L'},{'Moses '},{'Olivia'},,&,1/1,&
&,{'Andra '},{'Ben Hu'},{'Chris '},{'Sarah '},{'Lisa F'},{'Michae'},&,1/1,&
&,{'Andra '},{'Ben Hu'},{'Eric Z'},{'Chloe '},{'Eli Ar'},{'Mitch '},&,2/1,&
&,{'Andra '},{'Ben Hu'},{'Lisa F'},,,,&,1/1,&
&,{'Andra '},{'Ben Hu'},{'Tony M'},{'Eli Ar'},{'John T'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Ben Hu'},,,,,&,1/1,&
&,{'Andra '},{'Bob Ca'},{'Kelly '},{'Olivia'},,,&,1/1,&
&,{'Andra '},{'Bob Ca'},{'Kelly '},{'Tony S'},{'Moses '},{'L Chri'},&,1/1,&
&,{'Andra '},{'Bob Ca'},{'Lisa F'},{'Olivia'},{'Chad L'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Bob Ca'},{'Mike D'},,,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Bob Ca'},{'Eric Z'},,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Chad L'},{'Sarah '},{'Moses '},{'Kevin '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Chloe '},{'Ciatta'},{'Olivia'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Chloe '},,,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Ciatta'},{'Chloe '},{'Ben Hu'},{'Chris '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Ciatta'},{'Olivia'},,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Eli Ar'},{'John T'},{'Olivia'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Eli Ar'},{'Mitch '},{'Tony M'},{'Lee Od'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Joseph'},{'Tony M'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Joseph'},,,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Mitch '},{'Chloe '},{'Sarah '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Mitch '},{'Ciatta'},{'John T'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Mitch '},{'Ciatta'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Mitch '},{'Joseph'},{'Tony M'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Mitch '},{'Tony M'},{'Chloe '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Tony M'},{'Eric Z'},,&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},{'Tony M'},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Kevin '},,,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Lee Od'},{'Lisa F'},{'Patric'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Lee Od'},{'Mitch '},{'Stanle'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Lee Od'},{'Mitch '},{'Tony M'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Lee Od'},{'Raquel'},{'Moses '},,&,1/1,&
&,{'Andra '},{'Bob We'},{'Lisa F'},{'Raquel'},{'Olivia'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Lisa F'},{'Sarah '},{'Chad L'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Michae'},{'Chloe '},,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Michae'},{'Eli Ar'},{'Lisa F'},{'Bob Ca'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mike D'},{'Sarah '},{'Tony M'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Eli Ar'},{'Stanle'},{'Ben Hu'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Eli Ar'},{'Tony M'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Kevin '},{'Joseph'},{'Stanle'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Lisa F'},{'Ciatta'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Michae'},{'Tony M'},{'Ciatta'},&,2/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Sarah '},{'John T'},{'Mike D'},&,2/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Tony M'},{'John T'},,&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Tony M'},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Tony M'},{'Michae'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},{'Tony M'},,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Mitch '},,,,&,1/1,&
&,{'Andra '},{'Bob We'},{'Sarah '},{'Mitch '},{'Chad L'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Stanle'},{'Sarah '},{'Chad L'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Bob We'},{'Stanle'},{'Sarah '},{'Joseph'},,&,1/1,&
&,{'Andra '},{'Bob We'},{'Tony M'},{'Olivia'},{'Moses '},{'Sarah '},&,1/1,&
&,{'Andra '},{'Bob We'},{'Tony M'},{'Stanle'},{'Sarah '},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Brando'},{'Ciatta'},{'Chloe '},{'Mitch '},{'Kevin '},&,1/1,&
&,{'Andra '},{'Brando'},{'Tony S'},{'John T'},{'Kevin '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Chloe '},,,,&,1/1,&
