metric,rule,tiebreak,candidate_size,L,U,n_observations
sigma_UM_winner_set_worst_case_asin,2-approval,lex,,0.9578966000960932,0.9661016623076155,1070
sigma_UM_winner_set_worst_case_asin,2-approval,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,2-approval,lex,4.0,0.9571640042191331,0.9891201388599398,36
sigma_UM_winner_set_worst_case_asin,2-approval,lex,5.0,0.9637040905565576,0.984413816003675,110
sigma_UM_winner_set_worst_case_asin,2-approval,lex,6.0,0.9658507148494125,0.9807200015650168,205
sigma_UM_winner_set_worst_case_asin,2-approval,lex,7.0,0.9552719555682788,0.9709647599782636,282
sigma_UM_winner_set_worst_case_asin,2-approval,lex,8.0,0.9474488153982432,0.9666111001820095,207
sigma_UM_winner_set_worst_case_asin,2-approval,lex,9.0,0.9313031195040291,0.9619770922605105,118
sigma_UM_winner_set_worst_case_asin,2-approval,lex,10.0,0.9248568620607601,0.964105644790797,69
sigma_UM_winner_set_worst_case_asin,2-approval,lex,11.0,0.9110194460200904,0.97189183555142,26
sigma_UM_winner_set_worst_case_asin,2-approval,lex,12.0,0.9446877175690488,1.0,8
sigma_UM_winner_set_worst_case_asin,2-approval,lex,13.0,0.827664048259605,0.9632465610509184,6
sigma_UM_winner_set_worst_case_asin,2-approval,lex,14.0,1.0,1.0,1
sigma_UM_winner_set_worst_case_asin,3-approval,lex,,0.9869655522544839,0.991061694724113,1070
sigma_UM_winner_set_worst_case_asin,3-approval,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,3-approval,lex,4.0,0.9758710600661585,0.9987816276432964,36
sigma_UM_winner_set_worst_case_asin,3-approval,lex,5.0,0.9678737384372905,0.987813071843065,110
sigma_UM_winner_set_worst_case_asin,3-approval,lex,6.0,0.9819235316265713,0.9916944952899196,205
sigma_UM_winner_set_worst_case_asin,3-approval,lex,7.0,0.9886830960528992,0.9951581317512245,282
sigma_UM_winner_set_worst_case_asin,3-approval,lex,8.0,0.9868411346810493,0.9945891760529958,207
sigma_UM_winner_set_worst_case_asin,3-approval,lex,9.0,0.9865315983229476,0.9972557241373512,118
sigma_UM_winner_set_worst_case_asin,3-approval,lex,10.0,0.9760070833124703,0.9923257004549139,69
sigma_UM_winner_set_worst_case_asin,3-approval,lex,11.0,0.9845401148389615,1.0,26
sigma_UM_winner_set_worst_case_asin,3-approval,lex,12.0,1.0,1.0,8
sigma_UM_winner_set_worst_case_asin,3-approval,lex,13.0,0.9483297328105987,1.0,6
sigma_UM_winner_set_worst_case_asin,3-approval,lex,14.0,1.0,1.0,1
sigma_UM_winner_set_worst_case_asin,borda,lex,,0.9896735213366576,0.9929742891631695,1070
sigma_UM_winner_set_worst_case_asin,borda,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,borda,lex,4.0,0.9659856708797617,0.9938157747704124,36
sigma_UM_winner_set_worst_case_asin,borda,lex,5.0,0.9922475795847018,0.9992782342718166,110
sigma_UM_winner_set_worst_case_asin,borda,lex,6.0,0.9862224713879272,0.9939643879114856,205
sigma_UM_winner_set_worst_case_asin,borda,lex,7.0,0.9879433935839914,0.994205721265025,282
sigma_UM_winner_set_worst_case_asin,borda,lex,8.0,0.9860413067806145,0.9940024713360947,207
sigma_UM_winner_set_worst_case_asin,borda,lex,9.0,0.9876066425854972,0.9972257266508889,118
sigma_UM_winner_set_worst_case_asin,borda,lex,10.0,0.9817752517132476,0.9950474131140489,69
sigma_UM_winner_set_worst_case_asin,borda,lex,11.0,1.0,1.0,26
sigma_UM_winner_set_worst_case_asin,borda,lex,12.0,0.9614050115377069,1.0,8
sigma_UM_winner_set_worst_case_asin,borda,lex,13.0,1.0,1.0,6
sigma_UM_winner_set_worst_case_asin,borda,lex,14.0,1.0,1.0,1
sigma_UM_winner_set_worst_case_asin,plurality,lex,,0.8729480462263548,0.8877935569383723,1070
sigma_UM_winner_set_worst_case_asin,plurality,lex,3.0,1.0,1.0,2
sigma_UM_winner_set_worst_case_asin,plurality,lex,4.0,0.8635956494428179,0.935697509709681,36
sigma_UM_winner_set_worst_case_asin,plurality,lex,5.0,0.9018609573678701,0.9448542469416439,110
