metric_iia,metric_um,rule,tiebreak,candidate_size,iia_L,iia_U,um_L,um_U,n_pairs,sizes_used,overlap_counts_by_size
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,,0.9576936860193264,0.9641400770504135,0.8751825247738763,0.8860995560569681,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,4.0,0.8449074074074077,0.9444444444444444,0.9432825685199691,0.9835697823703303,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,5.0,0.9163636363636369,0.9466666666666668,0.9201104867144921,0.9524933019372946,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,6.0,0.9482103658536581,0.963333333333333,0.9055513112288329,0.9294436188826181,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,7.0,0.9594393785883136,0.9673083417764249,0.8595910138628644,0.8793207948101175,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,8.0,0.9670749942489089,0.9743501265240414,0.8508295961549142,0.8718904589828403,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,9.0,0.9712801822706484,0.9776365348399254,0.8272644793154771,0.8583490434231759,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,10.0,0.9756843800322064,0.9823268921095007,0.8204543974817317,0.8529493173921221,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,11.0,0.974747474747475,0.9851602564102566,0.8108881140629873,0.8473654794383193,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,12.0,0.9772727272727272,0.9852272727272728,0.7886361481932316,0.8560253650780262,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,13.0,0.9776612276612279,0.9924242424242423,0.7786764536766313,0.8683887266910356,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,2-approval,lex,14.0,0.9908424908424909,0.9908424908424909,0.7626050569060961,0.7626050569060961,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,,0.9738060212438115,0.9795253152545779,0.9386882485579587,0.9472342989314909,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,4.0,0.8888888888888887,0.9675925925925924,0.9154240731764913,0.9785263826885693,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,5.0,0.9354545454545458,0.9696969696969697,0.9098850678418027,0.9435552603515285,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,6.0,0.967559959349593,0.9786991869918693,0.9504155945848188,0.9679599850361895,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,7.0,0.977304542384328,0.9846335697399518,0.9503000769938797,0.964493541661309,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,8.0,0.9783471359558336,0.9847883597883612,0.9322384870981897,0.9511684675352378,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,9.0,0.9843960182943238,0.9899784772666137,0.9118409184569256,0.9373405352252075,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,10.0,0.9855475040257652,0.9908615136876008,0.8938568177709517,0.92829200788276,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,11.0,0.9808080808080809,0.9934731934731934,0.8910459291733558,0.9319928068525657,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,12.0,0.9856060606060607,0.9979166666666666,0.8629096591407825,0.9169100854435066,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,13.0,0.9854312354312355,0.9965034965034966,0.8825207388387754,0.9331279413301099,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,3-approval,lex,14.0,0.9990842490842491,0.9990842490842491,0.9891797448696688,0.9891797448696688,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,borda,lex,,0.9863067608663397,0.9893784185375887,0.9545395630234155,0.9612808696404447,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
