election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
eilean_siar_2022_ward3,3,1.0,1.0,1.0,1.0
eilean_siar_2022_ward4,3,1.0,1.0,1.0,1.0
east_dunbartonshire_2012_ward1,4,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward8,4,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward1,4,0.9399510971447045,1.0,1.0,0.8333333333333334
sc_borders_2017_ward11,4,1.0,1.0,1.0,1.0
argyll_bute_2012_ward11,4,1.0,1.0,1.0,1.0
falkirk_2017_ward7,4,1.0,1.0,1.0,0.8333333333333334
north_lanarkshire_2012_ward13,4,1.0,1.0,1.0,1.0
aberdeen_2017_ward11,4,1.0,1.0,1.0,1.0
eilean_siar_2012_ward3,4,1.0,1.0,1.0,1.0
aberdeenshire_2022_ward6,4,0.7186572000274853,0.8638168934448242,1.0,0.8333333333333334
eilean_siar_2017_ward4,4,0.8961937148813404,1.0,1.0,1.0
shetland_2017_ward6,4,1.0,1.0,1.0,1.0
moray_2017_ward1,4,1.0,1.0,1.0,1.0
moray_2012_ward7,4,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward6,4,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward16,4,0.6997026649694715,1.0,1.0,0.8333333333333334
shetland_2017_ward2,4,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward16,4,0.9793688397643552,1.0,1.0,0.8333333333333334
east_ayrshire_2012_ward2,4,1.0,1.0,1.0,0.8333333333333334
dumgal_2012_ward1,4,1.0,1.0,1.0,1.0
clackmannanshire_2012_ward5,4,0.9455330270022478,1.0,0.75,0.6666666666666667
falkirk_2012_ward8,4,0.9497439593748629,1.0,1.0,1.0
moray_2017_ward7,4,0.7566589336432418,0.8900192530224039,1.0,0.8333333333333334
moray_2017_ward3,4,0.9219175099190682,1.0,0.625,0.6666666666666667
orkney_2012_ward6,4,0.8768316934033968,0.956138595158671,1.0,1.0
shetland_2012_ward5,4,1.0,1.0,1.0,1.0
angus_2012_ward1,4,1.0,1.0,1.0,0.8333333333333334
eilean_siar_2022_ward5,4,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward6,4,0.8293975842216024,1.0,0.75,0.6666666666666667
argyll_bute_2022_ward1,4,1.0,1.0,1.0,1.0
stirling_2012_ward5,4,0.8718756907230191,0.8718756907230191,0.75,0.8333333333333334
east_dunbartonshire_2012_ward7,4,1.0,1.0,1.0,1.0
highland_2022_inverness_millburn,4,0.7903164606274303,1.0,1.0,1.0
midlothian_2022_ward2,4,1.0,1.0,1.0,1.0
north_lanarkshire_2012_ward9,4,1.0,1.0,1.0,1.0
dumgal_2012_ward2,4,1.0,1.0,1.0,1.0
east_ayrshire_2017_ward2,5,1.0,1.0,1.0,0.9666666666666667
east_dunbartonshire_2022_ward7,5,0.8108278466604407,1.0,1.0,1.0
south_lanarkshire_2022_ward19,5,0.9925518194323283,1.0,1.0,0.9333333333333333
aberdeenshire_2017_ward4,5,0.8238347050721659,1.0,1.0,0.9333333333333333
north_lanarkshire_2022_ward14,5,1.0,1.0,1.0,1.0
argyll_bute_2022_ward11,5,0.8214384068376183,1.0,1.0,1.0
east_dunbartonshire_2012_ward4,5,1.0,1.0,1.0,1.0
east_ayrshire_2012_ward6,5,1.0,1.0,1.0,1.0
argyll_bute_2017_ward10,5,1.0,1.0,1.0,0.9
fife_2012_ward21,5,1.0,1.0,1.0,1.0
renfrewshire_2022_ward2,5,0.7545293380560526,0.7545293380560526,0.8,0.9
north_lanarkshire_2017_ward10,5,1.0,1.0,1.0,0.9333333333333333
aberdeenshire_2022_ward2,5,1.0,1.0,1.0,0.9333333333333333
