election_name,method,n_cands,sigma_UM_worst_case_asin,sigma_UM_average_asin,sigma_UM_worst_case_odds,sigma_UM_average_odds,sigma_UM_winner_set_worst_case_asin,sigma_UM_winner_set_average_asin,sigma_UM_winner_set_worst_case_odds,sigma_UM_winner_set_average_odds,sigma_IIA_worst_case,sigma_IIA_average,sigma_IIA_all_subset_worst_case,sigma_IIA_all_subset_average,sigma_IIA_winner_set_worst_case,sigma_IIA_winner_set_average
dumgal_2017_ward11,borda,5,0.9057573833775766,0.9905757383377576,0.9574163535516195,0.9957416353551618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dumgal_2017_ward11,3-approval,5,0.8505385160477686,0.9756295899425345,0.8973291710024279,0.9854745524554046,0.8505385160477686,0.9626346290119422,0.8973291710024279,0.974332292750607,1.0,1.0,0.0,0.9375,1.0,1.0
dumgal_2017_ward11,2-approval,5,0.8584494199340914,0.9764206803311668,0.9072524407252441,0.9864668794276863,1.0,1.0,1.0,1.0,0.8333333333333334,0.9,0.0,0.8802083333333334,1.0,1.0
dumgal_2017_ward11,plurality,5,0.8584494199340914,0.9858449419934091,0.9072524407252441,0.9907252440725245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9479166666666666,1.0,1.0
dumgal_2017_ward11,stv,5,0.8584494199340914,0.9858449419934091,0.9072524407252441,0.9907252440725245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9479166666666666,1.0,1.0
dumgal_2017_ward11,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fife_2012_ward18,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fife_2012_ward18,3-approval,5,0.8889178486203122,0.9888917848620313,0.9414872003250713,0.9941487200325071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fife_2012_ward18,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.0,0.9427083333333334,1.0,1.0
fife_2012_ward18,plurality,5,0.6986484704123992,0.9398118647623221,0.6558655345693987,0.9313166956699124,1.0,1.0,1.0,1.0,0.8333333333333334,0.9,0.0,0.8697916666666667,1.0,1.0
fife_2012_ward18,stv,5,0.6986484704123992,0.9398118647623221,0.6558655345693987,0.9313166956699124,1.0,1.0,1.0,1.0,0.8333333333333334,0.9,0.0,0.8697916666666667,1.0,1.0
fife_2012_ward18,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
angus_2022_ward2,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9,0.0,0.921875,1.0,1.0
angus_2022_ward2,3-approval,5,0.8040473293839265,0.9623784423464968,0.831858407079646,0.9687047086324927,0.8040473293839265,0.9673412215639878,0.831858407079646,0.971976401179941,0.8333333333333334,0.9333333333333333,0.0,0.8020833333333333,1.0,0.8333333333333333
angus_2022_ward2,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.90625,1.0,1.0
angus_2022_ward2,plurality,5,0.8134973072643171,0.9513136374858406,0.8460455292184932,0.9638748438011827,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.0,0.8697916666666667,1.0,1.0
angus_2022_ward2,stv,5,0.8134973072643171,0.9513136374858406,0.8460455292184932,0.9638748438011827,1.0,1.0,1.0,1.0,0.8333333333333334,0.9,0.0,0.859375,1.0,1.0
angus_2022_ward2,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward4,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward4,3-approval,5,0.8076053193835954,0.9807605319383595,0.8372462488967344,0.9837246248896735,0.8076053193835954,0.9679342198972659,0.8372462488967344,0.9728743748161225,0.6666666666666667,0.8666666666666667,0.6666666666666667,0.9791666666666666,1.0,0.7333333333333333
